strategy,best_cost,n_inter_pso,n_particles,n_processes_pso,c1,c2,w,training_time,testing_time,train_accuracy,train_precision_0,train_precision_1,train_recall_0,train_recall_1,train_f1_0,train_f1_1,train_mcc,train_support_0,train_support_1,train_support,train_macro_avg_precision,train_macro_avg_recall,train_macro_avg_f1,train_weighted_avg_precision,train_weighted_avg_recall,train_weighted_avg_f1,test_accuracy,test_precision_0,test_precision_1,test_recall_0,test_recall_1,test_f1_0,test_f1_1,test_mcc,test_support_0,test_support_1,test_support,test_macro_avg_precision,test_macro_avg_recall,test_macro_avg_f1,test_weighted_avg_precision,test_weighted_avg_recall,test_weighted_avg_f1
nonlin_mod,0.086448148,100,10,60,0.778583333,0.759194444,0.819361111,18196323.97,1786.388889,0.999985185,0.999975931,0.999994444,0.999994444,0.999975926,0.999985187,0.999985184,0.999970373,15000,15000,30000,0.999985187,0.999985185,0.999985185,0.999985187,0.999985185,0.999985185,0.907686111,0.888910758,0.929742968,0.932377778,0.882994444,0.909790615,0.905398055,0.817010849,5000,5000,10000,0.909326863,0.907686111,0.907594335,0.909326863,0.907686111,0.907594335
c2_strategy,best_cost,n_inter_pso,n_particles,n_processes_pso,c1,c2,w,training_time,testing_time,train_accuracy,train_precision_0,train_precision_1,train_recall_0,train_recall_1,train_f1_0,train_f1_1,train_mcc,train_support_0,train_support_1,train_support,train_macro_avg_precision,train_macro_avg_recall,train_macro_avg_f1,train_weighted_avg_precision,train_weighted_avg_recall,train_weighted_avg_f1,test_accuracy,test_precision_0,test_precision_1,test_recall_0,test_recall_1,test_f1_0,test_f1_1,test_mcc,test_support_0,test_support_1,test_support,test_macro_avg_precision,test_macro_avg_recall,test_macro_avg_f1,test_weighted_avg_precision,test_weighted_avg_recall,test_weighted_avg_f1
exp_decay,0.087266667,100,10,60,0.781805556,0.747027778,0.751555556,18175015.61,1787.055556,0.999936111,0.999879785,0.999992591,0.999992593,0.99987963,0.99993615,0.999936072,0.999872299,15000,15000,30000,0.999936188,0.999936111,0.999936111,0.999936188,0.999936111,0.999936111,0.906022222,0.889964549,0.92506436,0.927205556,0.884838889,0.907805001,0.904069853,0.813534793,5000,5000,10000,0.907514455,0.906022222,0.905937427,0.907514455,0.906022222,0.905937427
lin_variation,0.089125926,100,10,60,0.753944444,0.751861111,0.754972222,18173752.92,1791.722222,0.999963889,0.999933368,0.999994443,0.999994444,0.999933333,0.999963898,0.99996388,0.999927794,15000,15000,30000,0.999963905,0.999963889,0.999963889,0.999963905,0.999963889,0.999963889,0.908758333,0.88365322,0.937672669,0.941605556,0.875911111,0.911643638,0.90566208,0.819418806,5000,5000,10000,0.910662945,0.908758333,0.908652859,0.910662945,0.908758333,0.908652859
nonlin_mod,0.087388889,100,10,60,0.755333333,0.726138889,0.781138889,18187236.5,1791.361111,0.999978704,0.999964823,0.999992591,0.999992593,0.999964815,0.999978706,0.999978701,0.999957411,15000,15000,30000,0.999978707,0.999978704,0.999978704,0.999978707,0.999978704,0.999978704,0.909419444,0.88697533,0.935448782,0.9388,0.880038889,0.911959699,0.906680989,0.820629102,5000,5000,10000,0.911212056,0.909419444,0.909320344,0.911212056,0.909419444,0.909320344
estimators,best_cost,n_inter_pso,n_particles,n_processes_pso,c1,c2,w,training_time,testing_time,train_accuracy,train_precision_0,train_precision_1,train_recall_0,train_recall_1,train_f1_0,train_f1_1,train_mcc,train_support_0,train_support_1,train_support,train_macro_avg_precision,train_macro_avg_recall,train_macro_avg_f1,train_weighted_avg_precision,train_weighted_avg_recall,train_weighted_avg_f1,test_accuracy,test_precision_0,test_precision_1,test_recall_0,test_recall_1,test_f1_0,test_f1_1,test_mcc,test_support_0,test_support_1,test_support,test_macro_avg_precision,test_macro_avg_recall,test_macro_avg_f1,test_weighted_avg_precision,test_weighted_avg_recall,test_weighted_avg_f1
"[SGDClassifier(class_weight='balanced', eta0=0.8102054986375052,
              learning_rate='constant', loss='modified_huber', penalty=None), WrapperForPAC(class_weight='balanced'), WrapperForLinearSVC(class_weight='balanced'), RandomForestClassifier(class_weight='balanced', criterion='entropy'), BernoulliNB(alpha=0.10460371036792848, binarize=0.042937660594707605), MultinomialNB(alpha=0.138110891026767), LogisticRegression(class_weight='balanced', max_iter=125, solver='saga')]",0.085565432,100,10,60,0.762777778,0.750685185,0.758759259,18186453.11,1795.685185,0.999930864,0.999872967,0.999988886,0.999988889,0.99987284,0.999930897,0.999930832,0.999861791,15000,15000,30000,0.999930927,0.999930864,0.999930864,0.999930927,0.999930864,0.999930864,0.910592593,0.891887374,0.932120324,0.934988889,0.886196296,0.912701547,0.90832652,0.822594863,5000,5000,10000,0.912003849,0.910592593,0.910514033,0.912003849,0.910592593,0.910514033
"[SGDClassifier(class_weight='balanced', eta0=0.8102054986375052,
              learning_rate='constant', loss='modified_huber', penalty=None), WrapperForPAC(class_weight='balanced'), WrapperForLinearSVC(class_weight='balanced'), RandomForestClassifier(class_weight='balanced', criterion='entropy'), BernoulliNB(alpha=0.10460371036792848, binarize=0.042937660594707605)]",0.090288889,100,10,60,0.764611111,0.732666667,0.766351852,18170883.57,1784.407407,0.999988272,0.999979017,0.99999753,0.999997531,0.999979012,0.999988273,0.99998827,0.999976545,15000,15000,30000,0.999988273,0.999988272,0.999988272,0.999988273,0.999988272,0.999988272,0.905540741,0.881841359,0.933336884,0.936751852,0.87432963,0.908237345,0.902615429,0.813126937,5000,5000,10000,0.907589121,0.905540741,0.905426387,0.907589121,0.905540741,0.905426387
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
