ensemble_type,strategy,weights,estimators,best_cost,c1_strategy,c2_strategy,w_strategy,n_inter_pso,n_particles,n_processes_pso,c1,c2,w,features,training_time,testing_time,train_accuracy,train_precision_0,train_precision_1,train_recall_0,train_recall_1,train_f1_0,train_f1_1,train_mcc,train_support_0,train_support_1,train_support,train_macro_avg_precision,train_macro_avg_recall,train_macro_avg_f1,train_weighted_avg_precision,train_weighted_avg_recall,train_weighted_avg_f1,test_accuracy,test_precision_0,test_precision_1,test_recall_0,test_recall_1,test_f1_0,test_f1_1,test_mcc,test_support_0,test_support_1,test_support,test_macro_avg_precision,test_macro_avg_recall,test_macro_avg_f1,test_weighted_avg_precision,test_weighted_avg_recall,test_weighted_avg_f1
VotingClassifier,EnsembleStrategy.weight_voting_soft,"[1.7655884818105672, 0.8369329524914337, 0.881081127741179]","[SGDClassifier(class_weight='balanced', eta0=0.8102054986375052,
              learning_rate='constant', loss='modified_huber', penalty=None), WrapperForPAC(class_weight='balanced'), WrapperForLinearSVC(class_weight='balanced')]",0.09373333333333334,exp_decay,lin_variation,nonlin_mod,100,10,60,0.628,0.863,0.989,tfidf,108105,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15000,15000,30000,1.0,1.0,1.0,1.0,1.0,1.0,0.9069,0.8735083532219571,0.9468482319349879,0.9516,0.8622,0.9108835072269551,0.9025437035486235,0.8170717159470897,5000,5000,10000,0.9101782925784725,0.9069,0.9067136053877893,0.9101782925784726,0.9069,0.9067136053877893
VotingClassifier,EnsembleStrategy.weight_voting_soft,"[-0.17150322759438727, 1.22842850282876, -0.028726443067461083]","[SGDClassifier(class_weight='balanced', eta0=0.8102054986375052,
              learning_rate='constant', loss='modified_huber', penalty=None), WrapperForPAC(class_weight='balanced'), WrapperForLinearSVC(class_weight='balanced')]",0.09799999999999998,exp_decay,lin_variation,lin_variation,100,10,60,0.719,0.575,0.571,tfidf,107569,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15000,15000,30000,1.0,1.0,1.0,1.0,1.0,1.0,0.9064,0.8771343726800297,0.940589765828274,0.9452,0.8676,0.9098960338852523,0.9026217228464419,0.8152583515546157,5000,5000,10000,0.9088620692541518,0.9064000000000001,0.9062588783658472,0.9088620692541517,0.9064,0.906258878365847
