algorithm,features,training_time,testing_time,best_estimator,train_accuracy,train_precision_0,train_precision_1,train_recall_0,train_recall_1,train_f1_0,train_f1_1,train_mcc,train_support_0,train_support_1,train_support,train_macro_avg_precision,train_macro_avg_recall,train_macro_avg_f1,train_weighted_avg_precision,train_weighted_avg_recall,train_weighted_avg_f1,test_accuracy,test_precision_0,test_precision_1,test_recall_0,test_recall_1,test_f1_0,test_f1_1,test_mcc,test_support_0,test_support_1,test_support,test_macro_avg_precision,test_macro_avg_recall,test_macro_avg_f1,test_weighted_avg_precision,test_weighted_avg_recall,test_weighted_avg_f1
SGDClassifier,tfidf,2526,2,,1,1,1,1,1,1,1,1,56732,56732,113464,1,1,1,1,1,1,0.96708265,0.96188036,0.972403466,0.972714293,0.961451007,0.967266991,0.966896222,0.934224561,18911,18911,37822,0.967141913,0.96708265,0.967081606,0.967141913,0.96708265,0.967081606
SGDClassifier,tfidf,2590,2,,1,1,1,1,1,1,1,1,56732,56732,113464,1,1,1,1,1,1,0.967585003,0.96186994,0.973443272,0.973771879,0.961398128,0.967784318,0.967383207,0.935241607,18911,18911,37822,0.967656606,0.967585003,0.967583763,0.967656606,0.967585003,0.967583763
SGDClassifier,tfidf,2323,2,,1,1,1,1,1,1,1,1,56732,56732,113464,1,1,1,1,1,1,0.966791814,0.961520364,0.972185076,0.972502776,0.961080852,0.966980388,0.966601074,0.933644532,18911,18911,37822,0.96685272,0.966791814,0.966790731,0.96685272,0.966791814,0.966790731
SGDClassifier,tfidf,2286,2,,1,1,1,1,1,1,1,1,56732,56732,113464,1,1,1,1,1,1,0.965972186,0.961990144,0.970023469,0.970281847,0.961662524,0.966118205,0.965824902,0.931978991,18911,18911,37822,0.966006806,0.965972186,0.965971553,0.966006806,0.965972186,0.965971553
SGDClassifier,tfidf,2432,3,,1,1,1,1,1,1,1,1,56732,56732,113464,1,1,1,1,1,1,0.966500978,0.961305166,0.971815167,0.972132621,0.960869335,0.966688576,0.966311255,0.933061143,18911,18911,37822,0.966560167,0.966500978,0.966499916,0.966560167,0.966500978,0.966499916
SGDClassifier,tfidf,2606,2,,1,1,1,1,1,1,1,1,56732,56732,113464,1,1,1,1,1,1,0.965760668,0.960958761,0.970663674,0.970969277,0.96055206,0.965938084,0.965581395,0.931571885,18911,18911,37822,0.965811217,0.965760668,0.965759739,0.965811217,0.965760668,0.965759739
SGDClassifier,tfidf,2631,2,,1,1,1,1,1,1,1,1,56732,56732,113464,1,1,1,1,1,1,0.966474539,0.961737765,0.971309505,0.971603828,0.961345249,0.966645623,0.96630169,0.932998172,18911,18911,37822,0.966523635,0.966474539,0.966473657,0.966523635,0.966474539,0.966473657
SGDClassifier,tfidf,2246,2,,1,1,1,1,1,1,1,1,56732,56732,113464,1,1,1,1,1,1,0.965760668,0.960814063,0.970814625,0.971127915,0.960393422,0.965943458,0.965575906,0.931575011,18911,18911,37822,0.965814344,0.965760668,0.965759682,0.965814344,0.965760668,0.965759682
SGDClassifier,tfidf,2244,2,,1,1,1,1,1,1,1,1,56732,56732,113464,1,1,1,1,1,1,0.966712495,0.960839599,0.972737011,0.973084448,0.960340543,0.966923259,0.966499029,0.933500797,18911,18911,37822,0.966788305,0.966712495,0.966711144,0.966788305,0.966712495,0.966711144
SGDClassifier,tfidf,2558,2,,1,1,1,1,1,1,1,1,56732,56732,113464,1,1,1,1,1,1,0.966712495,0.961321346,0.97223114,0.972555655,0.960869335,0.96690587,0.966516848,0.933488736,18911,18911,37822,0.966776243,0.966712495,0.966711359,0.966776243,0.966712495,0.966711359
