algorithm,features,training_time,testing_time,best_estimator,train_accuracy,train_precision_0,train_precision_1,train_recall_0,train_recall_1,train_f1_0,train_f1_1,train_mcc,train_support_0,train_support_1,train_support,train_macro_avg_precision,train_macro_avg_recall,train_macro_avg_f1,train_weighted_avg_precision,train_weighted_avg_recall,train_weighted_avg_f1,test_accuracy,test_precision_0,test_precision_1,test_recall_0,test_recall_1,test_f1_0,test_f1_1,test_mcc,test_support_0,test_support_1,test_support,test_macro_avg_precision,test_macro_avg_recall,test_macro_avg_f1,test_weighted_avg_precision,test_weighted_avg_recall,test_weighted_avg_f1
SGDClassifier,tfidf,552,0,,1,1,1,1,1,1,1,1,15000,15000,30000,1,1,1,1,1,1,0.9121,0.878838022,0.951764964,0.956,0.8682,0.915796532,0.90806401,0.827395299,5000,5000,10000,0.915301493,0.9121,0.911930271,0.915301493,0.9121,0.911930271
SGDClassifier,tfidf,646,0,,1,1,1,1,1,1,1,1,15000,15000,30000,1,1,1,1,1,1,0.9069,0.880636109,0.937056928,0.9414,0.8724,0.910004833,0.903573278,0.815744196,5000,5000,10000,0.908846518,0.9069,0.906789056,0.908846518,0.9069,0.906789056
SGDClassifier,tfidf,595,0,,1,1,1,1,1,1,1,1,15000,15000,30000,1,1,1,1,1,1,0.9114,0.883911907,0.943127962,0.9472,0.8756,0.914462251,0.908110351,0.824917211,5000,5000,10000,0.913519935,0.9114,0.911286301,0.913519935,0.9114,0.911286301
SGDClassifier,tfidf,894,1,,1,1,1,1,1,1,1,1,15000,15000,30000,1,1,1,1,1,1,0.9096,0.881378026,0.942332613,0.9466,0.8726,0.912825458,0.906126687,0.821452224,5000,5000,10000,0.91185532,0.9096,0.909476073,0.91185532,0.9096,0.909476073
SGDClassifier,tfidf,842,1,,1,1,1,1,1,1,1,1,15000,15000,30000,1,1,1,1,1,1,0.9104,0.879718727,0.946475196,0.9508,0.87,0.913879277,0.906627762,0.823492545,5000,5000,10000,0.913096961,0.9104,0.910253519,0.913096961,0.9104,0.910253519
SGDClassifier,tfidf,946,1,,1,1,1,1,1,1,1,1,15000,15000,30000,1,1,1,1,1,1,0.9096,0.877025037,0.948336252,0.9528,0.8664,0.913343558,0.905518395,0.822274874,5000,5000,10000,0.912680645,0.9096,0.909430976,0.912680645,0.9096,0.909430976
SGDClassifier,tfidf,745,1,,1,1,1,1,1,1,1,1,15000,15000,30000,1,1,1,1,1,1,0.913,0.882124352,0.949303742,0.9534,0.8726,0.916378316,0.909337224,0.828709603,5000,5000,10000,0.915714047,0.913,0.91285777,0.915714047,0.913,0.91285777
SGDClassifier,tfidf,717,1,,1,1,1,1,1,1,1,1,15000,15000,30000,1,1,1,1,1,1,0.911,0.881261596,0.945770065,0.95,0.872,0.914340712,0.907388137,0.824511992,5000,5000,10000,0.91351583,0.911,0.910864425,0.91351583,0.911,0.910864425
SGDClassifier,tfidf,574,1,,1,1,1,1,1,1,1,1,15000,15000,30000,1,1,1,1,1,1,0.9034,0.874350408,0.937337381,0.9422,0.8646,0.907008086,0.899500624,0.809240204,5000,5000,10000,0.905843895,0.9034,0.903254355,0.905843895,0.9034,0.903254355
SGDClassifier,tfidf,742,1,,1,1,1,1,1,1,1,1,15000,15000,30000,1,1,1,1,1,1,0.9115,0.885083287,0.941808031,0.9458,0.8772,0.914434883,0.908356632,0.824943364,5000,5000,10000,0.913445659,0.9115,0.911395758,0.913445659,0.9115,0.911395758
SGDClassifier,tfidf,878,1,,1,1,1,1,1,1,1,1,15000,15000,30000,1,1,1,1,1,1,0.9099,0.881018777,0.943518719,0.9478,0.872,0.913190095,0.906350691,0.822165336,5000,5000,10000,0.912268748,0.9099,0.909770393,0.912268748,0.9099,0.909770393
SGDClassifier,tfidf,654,0,,1,1,1,1,1,1,1,1,15000,15000,30000,1,1,1,1,1,1,0.9072,0.877176732,0.942416341,0.947,0.8674,0.910752068,0.903353468,0.81699241,5000,5000,10000,0.909796536,0.9072,0.907052768,0.909796536,0.9072,0.907052768
SGDClassifier,tfidf,625,1,,1,1,1,1,1,1,1,1,15000,15000,30000,1,1,1,1,1,1,0.9088,0.878658763,0.944154715,0.9486,0.869,0.912290825,0.905019788,0.820202597,5000,5000,10000,0.911406739,0.9088,0.908655306,0.911406739,0.9088,0.908655306
SGDClassifier,tfidf,573,1,,1,1,1,1,1,1,1,1,15000,15000,30000,1,1,1,1,1,1,0.9054,0.872336517,0.944907814,0.9498,0.861,0.909421678,0.901004604,0.814015788,5000,5000,10000,0.908622166,0.9054,0.905213141,0.908622166,0.9054,0.905213141
SGDClassifier,tfidf,662,1,,1,1,1,1,1,1,1,1,15000,15000,30000,1,1,1,1,1,1,0.9082,0.876151861,0.946217753,0.9508,0.8656,0.911950892,0.904115312,0.819379371,5000,5000,10000,0.911184807,0.9082,0.908033102,0.911184807,0.9082,0.908033102
SGDClassifier,tfidf,654,1,,1,1,1,1,1,1,1,1,15000,15000,30000,1,1,1,1,1,1,0.9086,0.876104566,0.947241681,0.9518,0.8654,0.912384969,0.904473244,0.820267367,5000,5000,10000,0.911673123,0.9086,0.908429107,0.911673123,0.9086,0.908429107
SGDClassifier,tfidf,792,1,,1,1,1,1,1,1,1,1,15000,15000,30000,1,1,1,1,1,1,0.9101,0.88305623,0.941252421,0.9454,0.8748,0.913165266,0.906810407,0.822251759,5000,5000,10000,0.912154326,0.9101,0.909987837,0.912154326,0.9101,0.909987837
SGDClassifier,tfidf,1009,1,,0.999966667,1,0.999933338,0.999933333,1,0.999966666,0.999966668,0.999933336,15000,15000,30000,0.999966669,0.999966667,0.999966667,0.999966669,0.999966667,0.999966667,0.9056,0.876252319,0.939913232,0.9446,0.8666,0.909143407,0.901768991,0.813678988,5000,5000,10000,0.908082776,0.9056,0.905456199,0.908082776,0.9056,0.905456199
SGDClassifier,tfidf,912,0,,1,1,1,1,1,1,1,1,15000,15000,30000,1,1,1,1,1,1,0.9107,0.881904408,0.944192083,0.9484,0.873,0.9139443,0.907201496,0.823744898,5000,5000,10000,0.913048245,0.9107,0.910572898,0.913048245,0.9107,0.910572898
SGDClassifier,tfidf,748,0,,1,1,1,1,1,1,1,1,15000,15000,30000,1,1,1,1,1,1,0.9065,0.872320938,0.947588637,0.9524,0.8606,0.910603308,0.902001887,0.816447478,5000,5000,10000,0.909954787,0.9065,0.906302597,0.909954787,0.9065,0.906302597
SGDClassifier,tfidf,632,1,,1,1,1,1,1,1,1,1,15000,15000,30000,1,1,1,1,1,1,0.9123,0.885111153,0.943619539,0.9476,0.877,0.915290254,0.909090909,0.826662766,5000,5000,10000,0.914365346,0.9123,0.912190582,0.914365346,0.9123,0.912190582
SGDClassifier,tfidf,584,0,,1,1,1,1,1,1,1,1,15000,15000,30000,1,1,1,1,1,1,0.9074,0.874724062,0.946319018,0.951,0.8638,0.911268685,0.903178586,0.817915584,5000,5000,10000,0.91052154,0.9074,0.907223636,0.91052154,0.9074,0.907223636
SGDClassifier,tfidf,598,0,,1,1,1,1,1,1,1,1,15000,15000,30000,1,1,1,1,1,1,0.9129,0.885959993,0.943883036,0.9478,0.878,0.915837279,0.909750285,0.827819046,5000,5000,10000,0.914921514,0.9129,0.912793782,0.914921514,0.9129,0.912793782
SGDClassifier,tfidf,605,1,,1,1,1,1,1,1,1,1,15000,15000,30000,1,1,1,1,1,1,0.9136,0.885102421,0.946652268,0.9506,0.8766,0.916682739,0.910280374,0.829474218,5000,5000,10000,0.915877344,0.9136,0.913481556,0.915877344,0.9136,0.913481556
SGDClassifier,tfidf,626,2,,1,1,1,1,1,1,1,1,15000,15000,30000,1,1,1,1,1,1,0.9049,0.873042196,0.942707194,0.9476,0.8622,0.908794476,0.900658101,0.812769252,5000,5000,10000,0.907874695,0.9049,0.904726288,0.907874695,0.9049,0.904726288
SGDClassifier,tfidf,629,0,,1,1,1,1,1,1,1,1,15000,15000,30000,1,1,1,1,1,1,0.9095,0.879236896,0.945011954,0.9494,0.8696,0.912972401,0.905738986,0.821620233,5000,5000,10000,0.912124425,0.9095,0.909355693,0.912124425,0.9095,0.909355693
SGDClassifier,tfidf,598,1,,1,1,1,1,1,1,1,1,15000,15000,30000,1,1,1,1,1,1,0.9102,0.881936685,0.942980562,0.9472,0.8732,0.91340405,0.90674974,0.822655523,5000,5000,10000,0.912458623,0.9102,0.910076895,0.912458623,0.9102,0.910076895
SGDClassifier,tfidf,560,0,,1,1,1,1,1,1,1,1,15000,15000,30000,1,1,1,1,1,1,0.9132,0.882592593,0.949130435,0.9532,0.8732,0.916538462,0.909583333,0.829057242,5000,5000,10000,0.915861514,0.9132,0.913060897,0.915861514,0.9132,0.913060897
SGDClassifier,tfidf,565,0,,1,1,1,1,1,1,1,1,15000,15000,30000,1,1,1,1,1,1,0.9099,0.880170655,0.944673465,0.949,0.8708,0.913290347,0.906233739,0.822318192,5000,5000,10000,0.91242206,0.9099,0.909762043,0.91242206,0.9099,0.909762043
SGDClassifier,tfidf,629,1,,1,1,1,1,1,1,1,1,15000,15000,30000,1,1,1,1,1,1,0.9072,0.878438662,0.940692641,0.9452,0.8692,0.910597303,0.903534304,0.816762225,5000,5000,10000,0.909565651,0.9072,0.907065803,0.909565651,0.9072,0.907065803
SGDClassifier,tfidf,734,0,,1,1,1,1,1,1,1,1,15000,15000,30000,1,1,1,1,1,1,0.9075,0.873647533,0.948097647,0.9528,0.8622,0.911508658,0.903110925,0.818365641,5000,5000,10000,0.91087259,0.9075,0.907309791,0.91087259,0.9075,0.907309791
SGDClassifier,tfidf,639,0,,1,1,1,1,1,1,1,1,15000,15000,30000,1,1,1,1,1,1,0.911,0.882824143,0.94365285,0.9478,0.8742,0.914158951,0.907599668,0.824235457,5000,5000,10000,0.913238496,0.911,0.910879309,0.913238496,0.911,0.910879309
SGDClassifier,tfidf,644,1,,1,1,1,1,1,1,1,1,15000,15000,30000,1,1,1,1,1,1,0.9092,0.876934414,0.947506562,0.952,0.8664,0.912926736,0.905139992,0.821414934,5000,5000,10000,0.912220488,0.9092,0.909033364,0.912220488,0.9092,0.909033364
SGDClassifier,tfidf,574,0,,1,1,1,1,1,1,1,1,15000,15000,30000,1,1,1,1,1,1,0.911,0.879992604,0.947517422,0.9518,0.8702,0.914488855,0.907214345,0.824750411,5000,5000,10000,0.913755013,0.911,0.9108516,0.913755013,0.911,0.9108516
SGDClassifier,tfidf,590,0,,1,1,1,1,1,1,1,1,15000,15000,30000,1,1,1,1,1,1,0.9094,0.88275991,0.940025795,0.9442,0.8746,0.91244685,0.906133444,0.820790434,5000,5000,10000,0.911392853,0.9094,0.909290147,0.911392853,0.9094,0.909290147
SGDClassifier,tfidf,674,1,,1,1,1,1,1,1,1,1,15000,15000,30000,1,1,1,1,1,1,0.9075,0.876826336,0.943609841,0.9482,0.8668,0.911117517,0.903575524,0.817713571,5000,5000,10000,0.910218089,0.9075,0.90734652,0.910218089,0.9075,0.90734652
SGDClassifier,tfidf,549,1,,1,1,1,1,1,1,1,1,15000,15000,30000,1,1,1,1,1,1,0.9069,0.879641724,0.93837535,0.9428,0.871,0.91012646,0.903433254,0.815905813,5000,5000,10000,0.909008537,0.9069,0.906779857,0.909008537,0.9069,0.906779857
SGDClassifier,tfidf,553,0,,1,1,1,1,1,1,1,1,15000,15000,30000,1,1,1,1,1,1,0.9115,0.884939196,0.941997852,0.946,0.877,0.914451426,0.908337649,0.824966175,5000,5000,10000,0.913468524,0.9115,0.911394537,0.913468524,0.9115,0.911394537
SGDClassifier,tfidf,536,1,,1,1,1,1,1,1,1,1,15000,15000,30000,1,1,1,1,1,1,0.9042,0.87593006,0.937067474,0.9418,0.8666,0.90767155,0.90045719,0.810695508,5000,5000,10000,0.906498767,0.9042,0.90406437,0.906498767,0.9042,0.90406437
